Altura,Latitud,Longitud
10000,-72.046743,40.160124
9999,-72.0515428022,40.15282433
9998,-72.0563414045,40.14552532
9997,-72.0611388071,40.1382269701
9996,-72.0659350101,40.13092928
9995,-72.070730014,40.12363225
9994,-72.0755238189,40.1163358799
9993,-72.080316425,40.1090401698
9992,-72.0851078326,40.1017451197
9991,-72.0898980421,40.0944507295
9990,-72.0946870535,40.0871569992
9989,-72.0994748672,40.0798639289
9988,-72.1042614833,40.0725715185
9987,-72.1090469023,40.065279768
9986,-72.1138311242,40.0579886775
9985,-72.1186141493,40.0506982469
9984,-72.123395978,40.0434084762
9983,-72.1281766103,40.0361193653
9982,-72.1329560467,40.0288309144
9981,-72.1377342872,40.0215431234
9980,-72.1425113322,40.0142559923
9979,-72.1472871819,40.006969521
9978,-72.1520618366,39.9996837096
9977,-72.1568352964,39.9923985581
9976,-72.1616075616,39.9851140664
9975,-72.1663786326,39.9778302346
9974,-72.1711485094,39.9705470627
9973,-72.1759171924,39.9632645506
9972,-72.1806846818,39.9559826983
9971,-72.1854509779,39.9487015059
9970,-72.1902160808,39.9414209733
9969,-72.1949799909,39.9341411005
9968,-72.1997427083,39.9268618875
9967,-72.2045042333,39.9195833343
9966,-72.2092645662,39.9123054409
9965,-72.2140237072,39.9050282074
9964,-72.2187816565,39.8977516336
9963,-72.2235384143,39.8904757196
9962,-72.228293981,39.8832004654
9961,-72.2330483568,39.8759258709
9960,-72.2378015418,39.8686519362
9959,-72.2425535364,39.8613786613
9958,-72.2473043407,39.8541060461
9957,-72.252053955,39.8468340907
9956,-72.2568023797,39.839562795
9955,-72.2615496148,39.8322921591
9954,-72.2662956606,39.8250221829
9953,-72.2710405174,39.8177528664
9952,-72.2757841854,39.8104842096
9951,-72.2805266649,39.8032162125
9950,-72.2852679561,39.7959488752
9949,-72.2900080592,39.7886821975
9948,-72.2947469744,39.7814161796
9947,-72.2994847021,39.7741508213
9946,-72.3042212425,39.7668861227
9945,-72.3089565957,39.7596220838
9944,-72.313690762,39.7523587045
9943,-72.3184237418,39.7450959849
9942,-72.3231555351,39.737833925
9941,-72.3278861423,39.7305725247
9940,-72.3326155635,39.7233117841
9939,-72.3373437991,39.7160517031
9938,-72.3420708492,39.7087922818
9937,-72.3467967142,39.7015335201
9936,-72.3515213942,39.694275418
9935,-72.3562448894,39.6870179755
9934,-72.3609672002,39.6797611926
9933,-72.3656883267,39.6725050693
9932,-72.3704082693,39.6652496057
9931,-72.375127028,39.6579948016
9930,-72.3798446032,39.6507406571
9929,-72.3845609952,39.6434871722
9928,-72.3892762041,39.6362343468
9927,-72.3939902301,39.628982181
9926,-72.3987030736,39.6217306748
9925,-72.4034147348,39.6144798282
9924,-72.4081252139,39.6072296411
9923,-72.4128345111,39.5999801135
9922,-72.4175426266,39.5927312455
9921,-72.4222495608,39.585483037
9920,-72.4269553139,39.578235488
9919,-72.431659886,39.5709885986
9918,-72.4363632774,39.5637423687
9917,-72.4410654885,39.5564967982
9916,-72.4457665193,39.5492518873
9915,-72.4504663702,39.5420076359
9914,-72.4551650413,39.534764044
9913,-72.459862533,39.5275211115
9912,-72.4645588454,39.5202788385
9911,-72.4692539788,39.513037225
9910,-72.4739479335,39.505796271
9909,-72.4786407096,39.4985559764
9908,-72.4833323074,39.4913163413
9907,-72.4880227272,39.4840773657
9906,-72.4927119692,39.4768390494
