Altura,Latitud,Longitud
10000,-72.046743,40.160124
9999,-72.0515428012,40.1528243301
9998,-72.0563414026,40.1455253201
9997,-72.0611388043,40.1382269701
9996,-72.0659350066,40.1309292801
9995,-72.0707300097,40.1236322501
9994,-72.0755238139,40.11633588
9993,-72.0803164195,40.10904017
9992,-72.0851078266,40.1017451198
9991,-72.0898980355,40.0944507296
9990,-72.0946870465,40.0871569994
9989,-72.0994748598,40.0798639291
9988,-72.1042614756,40.0725715187
9987,-72.1090468943,40.0652797682
9986,-72.1138311159,40.0579886777
9985,-72.1186141409,40.0506982471
9984,-72.1233959693,40.0434084764
9983,-72.1281766015,40.0361193656
9982,-72.1329560377,40.0288309147
9981,-72.1377342782,40.0215431236
9980,-72.1425113231,40.0142559925
9979,-72.1472871727,40.0069695212
9978,-72.1520618274,39.9996837099
9977,-72.1568352872,39.9923985583
9976,-72.1616075525,39.9851140667
9975,-72.1663786234,39.9778302349
9974,-72.1711485003,39.9705470629
9973,-72.1759171834,39.9632645508
9972,-72.1806846729,39.9559826985
9971,-72.185450969,39.9487015061
9970,-72.1902160721,39.9414209735
9969,-72.1949799822,39.9341411007
9968,-72.1997426998,39.9268618877
9967,-72.2045042249,39.9195833345
9966,-72.209264558,39.9123054412
9965,-72.2140236991,39.9050282076
9964,-72.2187816485,39.8977516338
9963,-72.2235384066,39.8904757198
9962,-72.2282939734,39.8832004656
9961,-72.2330483493,39.8759258711
9960,-72.2378015345,39.8686519364
9959,-72.2425535293,39.8613786615
9958,-72.2473043338,39.8541060463
9957,-72.2520539483,39.8468340909
9956,-72.2568023731,39.8395627952
9955,-72.2615496084,39.8322921592
9954,-72.2662956544,39.825022183
9953,-72.2710405114,39.8177528665
9952,-72.2757841796,39.8104842097
9951,-72.2805266593,39.8032162127
9950,-72.2852679506,39.7959488753
9949,-72.2900080539,39.7886821977
9948,-72.2947469694,39.7814161797
9947,-72.2994846972,39.7741508214
9946,-72.3042212377,39.7668861228
9945,-72.3089565911,39.7596220839
